執行日期,科目名稱,摘要,受款單位, 金額 
111/12/26,國民及學前教育行政及督導,111學年度高級中等學校開設原住民族語文課程之經費,國立民雄高級農工職業學校,"26,460"
111/12/26,國民及學前教育行政及督導,111學年度高級中等學校開設原住民族語文課程之經費,國立屏東高級工業職業學校,"52,920"
111/12/26,國民及學前教育行政及督導,111學年度高級中等學校開設原住民族語文課程之經費,國立潮州高級中學,"10,820"
111/12/26,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費,國立旗美高級中學,"23,640"
111/12/26,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費,國立曾文高級家事商業職業學校,"8,820"
111/12/26,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費,國立新化高級工業職業學校,"17,284"
111/12/26,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費,國立民雄高級農工職業學校,"13,230"
111/12/26,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費,國立屏東高級工業職業學校,"35,280"
111/12/26,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費,國立潮州高級中學,"32,460"
111/12/26,國民及學前教育行政及督導,111學年度高級中等學校開設本土語文(閩東、閩南、客語)課程之開課經費,國立羅東高級商業職業學校,"17,640"
