年度,序號,行政區,上課地點,上課日期,上課時間,課程名稱,人數
111,161,文山區,"台北市文山區樟腳里恆光街45號7樓703教室
 (樟腳里里辦公室)",1111017,09:00-12:00,樂齡手機上網輕鬆學,16
111,162,南港區,"台北市南港區九如里研究院路2段208號
 (久如社區發展協會)",1111017,13:30-16:30,美麗寶島逍遙青春遊,19
111,163,萬華區,"台北市萬華區新忠里西藏路125巷7之3號
 (新忠里里辦公室)",1111018,09:00-12:00,網路社群直播開心聚,17
111,164,信義區,"台北市信義區安康里虎林街232巷55號
 (安康里辦公處)",1111018,11:00-12:00,樂齡手機上網輕鬆學,30
111,165,大安區,"台北市大安區住安里信義路四段30巷27弄24號
 (住安社區發展協會)",1111019,09:15-11:15,亮麗自拍展現我的美,29
111,166,士林區,"台北市士林區葫東里中正路589號
 (葫東區民活動中心)",1111019,19:30-20:30,亮麗自拍展現我的美,29
111,167,中山區,"台北市中山區大直里北安路595巷30號
 (大直里里辦公室)",1111020,09:00-12:00,亮麗自拍展現我的美,17
111,168,北投區,"台北市北投區文化里文化三路3號4樓
 (北投區硫磺谷社區發展協會)",1111020,16:00-17:00,玩轉社群愉快交朋友,34
111,169,內湖區,"台北市內湖區康寧里康寧路三段99巷39弄70號
 (康寧里里辦公室)",1111021,13:30-16:30,拍出誘人的美食風味,17
111,170,文山區,"台北市文山區景行里羅斯福路六段393號7樓
 (景行區民活動中心)",1111021,14:30-16:30,樂齡手機上網輕鬆學,22
111,171,萬華區,台北市萬華區華江里環河南路二段250巷42弄2號(華江國小),1111022,09:00-12:00,玩轉社群愉快交朋友,37
111,172,中山區,"台北市中山區朱園里松江路25巷9號B1
 (朱園區民活動中心)",1111022,13:30-16:30,老照片舊回憶愛長存,24
111,173,中山區,"台北市中山區新生里新生北路二段133巷45號一
 樓(新生里里民活動場所)",1111022,18:00-21:00,樂齡手機上網輕鬆學,18
111,174,大安區,"台北市大安區法治里通化街192號
 (關懷里民活動中心)",1111025,09:00-12:00,老照片舊回憶愛長存,25
111,175,萬華區,"台北市萬華區華江里長順街127號
 (長順區民活動中心)",1111025,13:30-16:30,樂齡手機上網輕鬆學,40
111,176,北投區,"台北市北投區福興里自強街5巷22號
(福星宮活動中心)",1111026,09:00-12:00,樂齡手機上網輕鬆學,18
111,177,士林區,"台北市士林區名山里雨聲街68號
 (幸福名山社區發展協會)",1111026,09:00-12:00,美麗寶島逍遙青春遊,36
111,178,中山區,"台北市中山區正守里林森北路67巷7號2樓
 (正守里里辦公室)",1111026,13:30-16:30,掌握銀髮照護通行證,12
111,179,中山區,"台北市中山區大直里北安路595巷30號
 (大直里里辦公室)",1111027,09:00-12:00,懷念老歌金曲開心聽,20
111,180,北投區,"台北市北投區榮光里石牌路一段166巷43弄15號
 (台北市北投區榮光社區發展協會)",1111027,14:30-16:30,老照片舊回憶愛長存,25
111,181,萬華區,"台北市萬華區雙園里興寧街70號
 (財團法人天主教聖母聖心會萬華小德蘭堂社區照顧關懷據點巷弄長照站)",1111028,09:00-12:00,亮麗自拍展現我的美,20
111,182,內湖區,"台北市內湖區康寧里康寧路三段99巷39弄70號
 (康寧里里辦公室)",1111028,13:30-16:30,智慧精準翻譯最即時,17
111,183,文山區,"台北市文山區景行里羅斯福路六段393號7樓
 (景行區民活動中心)",1111028,15:30-16:30,亮麗自拍展現我的美,17
111,184,大同區,"台北市大同區重慶里重慶北路三段347號2樓之2
(大龍區民活動場所教室)",1111029,09:00-12:00,樂齡手機上網輕鬆學,23
111,185,中山區,"台北市中山區新生里新生北路二段133巷45號一
 樓(新生里里民活動場所)",1111029,13:30-16:30,玩轉社群愉快交朋友,24
111,186,文山區,"台北市文山區樟腳里恆光街45號7樓703教室
 (樟腳里里辦公室)",1111031,09:00-12:00,掌握銀髮照護通行證,15
111,187,南港區,"台北市南港區九如里研究院路2段208號
 (久如社區發展協會)",1111031,13:30-16:30,智慧精準翻譯最即時,17
111,188,中正區,"台北市中正區螢雪里福州街59號
 (螢雪里里辦公處)",1111101,09:00-12:00,老照片舊回憶愛長存,23
111,189,大安區,"台北市大安區法治里通化街192號
 (關懷里民活動中心)",1111101,09:00-12:00,玩轉社群愉快交朋友,25
111,190,松山區,"台北市松山區東勢里南京東路四段107號12樓
 (社團法人台北市光鹽關懷發展協會)",1111101,13:00-16:00,樂齡手機上網輕鬆學,29
111,191,中正區,"台北市中正區南福里羅斯福路1段96號11樓
 (財團法人臺北市松年長春社會福利基金會)",1111101,13:00-16:00,樂齡手機上網輕鬆學,21
111,192,中山區,"台北市中山區正義里林森北路133巷78號
 (正義里里辦公處)",1111101,14:00-17:00,台北通讓生活攏會通,15
111,193,士林區,"台北市士林區名山里雨聲街68號
 (幸福名山社區發展協會)",1111102,09:00-12:00,拍出誘人的美食風味,37
111,194,北投區,"台北市北投區福興里自強街5巷22號
 (福星宮活動中心)",1111102,09:00-12:00,亮麗自拍展現我的美,21
111,195,大安區,"台北市大安區住安里信義路四段30巷27弄24號
 (住安社區發展協會)",1111102,10:15-11:15,美麗寶島逍遙青春遊,25
111,196,中山區,"台北市中山區正義里林森北路133巷78號
 (正義里里辦公處)",1111102,14:00-17:00,亮麗自拍展現我的美,18
111,197,北投區,"台北市北投區榮光里石牌路一段166巷43弄15號
 (台北市北投區榮光社區發展協會)",1111103,15:30-16:30,玩轉社群愉快交朋友,22
